,true_x,true_y,true_yaw,odo_x,odo_y,odo_yaw,z_x,z_y,u_dl,u_dtheta,z_n,u_dl_n,u_dtheta_n
259,5.24781519736,18.5429577241,2.6,5.32944679585,18.7009766494,2.51657453145,0.0,0.0,0.104112416346,0.0124351446136,0.0,0.05,0.01
260,5.16212632203,18.5945078613,2.61,5.2677569556,18.7454866093,2.51361042612,0.0,0.0,0.0760708414109,-0.00296410532947,0.0,0.05,0.01
261,5.07592623832,18.6451985465,2.62,5.14207394797,18.836736096,2.52456947662,0.0,0.0,0.155314800426,0.0109590504997,0.0,0.05,0.01
262,4.98922356617,18.6950247108,2.63,5.08704892698,18.8757721948,2.51373654171,0.0,0.0,0.0674653240347,-0.0108329349105,0.0,0.05,0.01
263,4.90202697579,18.7439813714,2.64,5.01642527019,18.9270334052,2.50795112898,0.0,0.0,0.087266331333,-0.00578541273059,0.0,0.05,0.01
264,4.81434518675,18.7920636329,2.65,4.92876322426,18.9914393232,2.51482021495,0.0,0.0,0.108778474768,0.00686908596833,0.0,0.05,0.01
265,4.72618696716,18.8392666871,2.66,4.92462215928,18.9944382119,2.53340013214,0.0,0.0,0.00511290059482,0.018579917191,0.0,0.05,0.01
266,4.63756113277,18.8855858136,2.67,4.88190232042,19.0241811241,2.53625685797,0.0,0.0,0.0520540628462,0.00285672582957,0.0,0.05,0.01
267,4.5484765461,18.9310163805,2.68,4.85142112282,19.045274075,2.55187326788,0.0,0.0,0.0370677216334,0.0156164099103,0.0,0.05,0.01
268,4.45894211551,18.975553845,2.69,4.75359982979,19.1107311255,2.56050035091,0.0,0.0,0.117701447842,0.00862708302811,0.0,0.05,0.01
269,4.36896679439,19.0191937532,2.7,4.64636088668,19.1811582355,2.55856540751,0.0,0.0,0.128297189177,-0.00193494340086,0.0,0.05,0.01
270,4.27855958019,19.0619317412,2.71,4.52679089654,19.2600150911,2.56153827909,0.0,0.0,0.143231931531,0.00297287158075,0.0,0.05,0.01
